from_stop_I;to_stop_I;attr_dict
4823;4825;{'n_vehicles': 28, 'route_I_counts': {130: 28}, 'duration_avg': 169.28571428571428, 'd': 1485}
4823;4826;{'n_vehicles': 1, 'route_I_counts': {131: 1}, 'duration_avg': 120.0, 'd': 1484}
4823;4767;{'n_vehicles': 1, 'route_I_counts': {139: 1}, 'duration_avg': 300.0, 'd': 4229}
4824;4826;{'n_vehicles': 2, 'route_I_counts': {137: 2}, 'duration_avg': 180.0, 'd': 1489}
4824;4767;{'n_vehicles': 31, 'route_I_counts': {130: 29, 131: 2}, 'duration_avg': 282.5806451612903, 'd': 4225}
4825;4824;{'n_vehicles': 2, 'route_I_counts': {131: 2}, 'duration_avg': 180.0, 'd': 1490}
4825;4823;{'n_vehicles': 1, 'route_I_counts': {139: 1}, 'duration_avg': 180.0, 'd': 1485}
4826;4824;{'n_vehicles': 29, 'route_I_counts': {130: 29}, 'duration_avg': 142.75862068965517, 'd': 1489}
4826;4767;{'n_vehicles': 1, 'route_I_counts': {130: 1}, 'duration_avg': 360.0, 'd': 5710}
4827;4764;{'n_vehicles': 1, 'route_I_counts': {136: 1}, 'duration_avg': 420.0, 'd': 7954}
4827;4732;{'n_vehicles': 21, 'route_I_counts': {136: 16, 140: 5}, 'duration_avg': 245.71428571428572, 'd': 3961}
4827;4805;{'n_vehicles': 1, 'route_I_counts': {136: 1}, 'duration_avg': 1020.0, 'd': 15318}
4828;4762;{'n_vehicles': 4, 'route_I_counts': {143: 4}, 'duration_avg': 510.0, 'd': 9716}
4828;4733;{'n_vehicles': 7, 'route_I_counts': {143: 7}, 'duration_avg': 240.0, 'd': 3979}
4828;4806;{'n_vehicles': 1, 'route_I_counts': {144: 1}, 'duration_avg': 1260.0, 'd': 15381}
4851;4853;{'n_vehicles': 24, 'route_I_counts': {134: 24}, 'duration_avg': 180.0, 'd': 1948}
4853;4771;{'n_vehicles': 24, 'route_I_counts': {134: 24}, 'duration_avg': 302.5, 'd': 3719}
4854;4852;{'n_vehicles': 21, 'route_I_counts': {134: 21}, 'duration_avg': 268.57142857142856, 'd': 1942}
