from_stop_I;to_stop_I;attr_dict
329;590;{'route_I_counts': {136: 67, 133: 11, 134: 7, 135: 78}, 'd': 1061, 'n_vehicles': 163, 'duration_avg': 92.39263803680981}
336;545;{'route_I_counts': {164: 11, 165: 140, 166: 93, 167: 72}, 'd': 2711, 'n_vehicles': 316, 'duration_avg': 192.72151898734177}
336;452;{'route_I_counts': {168: 140, 169: 13, 170: 94, 171: 69}, 'd': 1764, 'n_vehicles': 316, 'duration_avg': 165.7594936708861}
337;808;{'route_I_counts': {136: 136, 133: 18, 134: 41, 135: 78}, 'd': 944, 'n_vehicles': 273, 'duration_avg': 120.0}
337;474;{'route_I_counts': {137: 33, 138: 135, 139: 64, 140: 40}, 'd': 2237, 'n_vehicles': 272, 'duration_avg': 240.0}
344;329;{'route_I_counts': {136: 89, 133: 11, 134: 7, 135: 78}, 'd': 518, 'n_vehicles': 185, 'duration_avg': 124.86486486486487}
344;523;{'route_I_counts': {137: 28, 138: 135, 139: 64, 140: 40}, 'd': 1515, 'n_vehicles': 267, 'duration_avg': 180.0}
344;590;{'route_I_counts': {134: 22}, 'd': 1490, 'n_vehicles': 22, 'duration_avg': 180.0}
344;529;{'route_I_counts': {136: 47, 134: 12}, 'd': 4917, 'n_vehicles': 59, 'duration_avg': 304.06779661016947}
354;809;{'route_I_counts': {136: 65, 134: 12}, 'd': 2106, 'n_vehicles': 77, 'duration_avg': 212.72727272727272}
354;475;{'route_I_counts': {138: 62, 140: 13}, 'd': 2816, 'n_vehicles': 75, 'duration_avg': 189.6}
27195;27196;{'route_I_counts': {1069: 85}, 'd': 1651, 'n_vehicles': 85, 'duration_avg': 122.82352941176471}
27195;26999;{'route_I_counts': {1069: 83}, 'd': 2151, 'n_vehicles': 83, 'duration_avg': 198.0722891566265}
27025;27024;{'route_I_counts': {1055: 76}, 'd': 1305, 'n_vehicles': 76, 'duration_avg': 120.0}
27025;26999;{'route_I_counts': {1055: 76}, 'd': 1495, 'n_vehicles': 76, 'duration_avg': 120.0}
360;592;{'route_I_counts': {136: 103, 133: 10, 134: 24, 135: 78}, 'd': 2115, 'n_vehicles': 215, 'duration_avg': 179.72093023255815}
360;467;{'route_I_counts': {137: 19, 138: 101, 139: 65, 140: 40}, 'd': 1583, 'n_vehicles': 225, 'duration_avg': 138.66666666666666}
27197;27196;{'route_I_counts': {1069: 83}, 'd': 2318, 'n_vehicles': 83, 'duration_avg': 133.0120481927711}
27197;27198;{'route_I_counts': {1069: 85}, 'd': 1406, 'n_vehicles': 85, 'duration_avg': 121.41176470588235}
369;856;{'route_I_counts': {164: 4, 166: 70, 167: 44}, 'd': 1727, 'n_vehicles': 118, 'duration_avg': 166.77966101694915}
369;648;{'route_I_counts': {169: 3, 170: 58, 171: 61}, 'd': 1366, 'n_vehicles': 122, 'duration_avg': 120.0}
369;824;{'route_I_counts': {169: 7}, 'd': 2971, 'n_vehicles': 7, 'duration_avg': 240.0}
370;584;{'route_I_counts': {136: 65, 134: 12}, 'd': 769, 'n_vehicles': 77, 'duration_avg': 116.88311688311688}
370;714;{'route_I_counts': {138: 62, 140: 13}, 'd': 1410, 'n_vehicles': 75, 'duration_avg': 120.0}
371;840;{'route_I_counts': {169: 4, 170: 69, 171: 34}, 'd': 3967, 'n_vehicles': 107, 'duration_avg': 240.0}
371;19;{'route_I_counts': {164: 2, 166: 49, 167: 47}, 'd': 5120, 'n_vehicles': 98, 'duration_avg': 241.22448979591837}
26999;27000;{'route_I_counts': {1055: 67}, 'd': 1289, 'n_vehicles': 67, 'duration_avg': 120.0}
26999;27025;{'route_I_counts': {1055: 76}, 'd': 1495, 'n_vehicles': 76, 'duration_avg': 120.0}
26999;27024;{'route_I_counts': {1055: 35}, 'd': 2707, 'n_vehicles': 35, 'duration_avg': 159.42857142857142}
26999;27195;{'route_I_counts': {1069: 85}, 'd': 2151, 'n_vehicles': 85, 'duration_avg': 165.88235294117646}
26999;27013;{'route_I_counts': {1069: 83, 1055: 49}, 'd': 1172, 'n_vehicles': 132, 'duration_avg': 100.45454545454545}
27000;27001;{'route_I_counts': {1055: 67}, 'd': 658, 'n_vehicles': 67, 'duration_avg': 91.34328358208955}
27000;26999;{'route_I_counts': {1055: 60}, 'd': 1289, 'n_vehicles': 60, 'duration_avg': 120.0}
27001;27000;{'route_I_counts': {1055: 60}, 'd': 658, 'n_vehicles': 60, 'duration_avg': 60.0}
27001;27002;{'route_I_counts': {1055: 67}, 'd': 2505, 'n_vehicles': 67, 'duration_avg': 151.34328358208955}
27002;27001;{'route_I_counts': {1055: 60}, 'd': 2505, 'n_vehicles': 60, 'duration_avg': 120.0}
27002;27003;{'route_I_counts': {1055: 47}, 'd': 1178, 'n_vehicles': 47, 'duration_avg': 120.0}
27003;27002;{'route_I_counts': {1055: 43}, 'd': 1178, 'n_vehicles': 43, 'duration_avg': 120.0}
27003;27004;{'route_I_counts': {1055: 47}, 'd': 589, 'n_vehicles': 47, 'duration_avg': 60.0}
27004;27003;{'route_I_counts': {1055: 43}, 'd': 589, 'n_vehicles': 43, 'duration_avg': 60.0}
27004;27005;{'route_I_counts': {1055: 47}, 'd': 1484, 'n_vehicles': 47, 'duration_avg': 120.0}
27005;27004;{'route_I_counts': {1055: 43}, 'd': 1484, 'n_vehicles': 43, 'duration_avg': 120.0}
27005;27006;{'route_I_counts': {1055: 47}, 'd': 1480, 'n_vehicles': 47, 'duration_avg': 120.0}
27006;27005;{'route_I_counts': {1055: 43}, 'd': 1480, 'n_vehicles': 43, 'duration_avg': 120.0}
27006;27007;{'route_I_counts': {1055: 47}, 'd': 1467, 'n_vehicles': 47, 'duration_avg': 120.0}
27007;27008;{'route_I_counts': {1055: 47}, 'd': 2420, 'n_vehicles': 47, 'duration_avg': 158.29787234042553}
27007;27006;{'route_I_counts': {1055: 43}, 'd': 1467, 'n_vehicles': 43, 'duration_avg': 120.0}
27008;27009;{'route_I_counts': {1055: 47}, 'd': 1512, 'n_vehicles': 47, 'duration_avg': 141.70212765957447}
27008;27007;{'route_I_counts': {1055: 43}, 'd': 2420, 'n_vehicles': 43, 'duration_avg': 154.88372093023256}
27200;27201;{'route_I_counts': {1069: 87}, 'd': 1613, 'n_vehicles': 87, 'duration_avg': 160.68965517241378}
27200;27199;{'route_I_counts': {1069: 83}, 'd': 1372, 'n_vehicles': 83, 'duration_avg': 131.56626506024097}
27010;27009;{'route_I_counts': {1055: 54}, 'd': 2706, 'n_vehicles': 54, 'duration_avg': 157.77777777777777}
27010;27011;{'route_I_counts': {1055: 56}, 'd': 3352, 'n_vehicles': 56, 'duration_avg': 193.92857142857142}
27011;27010;{'route_I_counts': {1055: 54}, 'd': 3352, 'n_vehicles': 54, 'duration_avg': 188.88888888888889}
27011;27012;{'route_I_counts': {1055: 56}, 'd': 2872, 'n_vehicles': 56, 'duration_avg': 204.64285714285714}
27012;27041;{'route_I_counts': {1055: 14}, 'd': 3587, 'n_vehicles': 14, 'duration_avg': 240.0}
27012;27050;{'route_I_counts': {1055: 15}, 'd': 30261, 'n_vehicles': 15, 'duration_avg': 1948.0}
27012;27011;{'route_I_counts': {1055: 54}, 'd': 2872, 'n_vehicles': 54, 'duration_avg': 216.66666666666666}
27012;27039;{'route_I_counts': {1055: 28}, 'd': 1696, 'n_vehicles': 28, 'duration_avg': 222.85714285714286}
27013;27014;{'route_I_counts': {1069: 83, 1055: 49}, 'd': 1952, 'n_vehicles': 132, 'duration_avg': 129.54545454545453}
27013;26999;{'route_I_counts': {1069: 85, 1055: 49}, 'd': 1172, 'n_vehicles': 134, 'duration_avg': 109.25373134328358}
27014;27013;{'route_I_counts': {1069: 85, 1055: 49}, 'd': 1952, 'n_vehicles': 134, 'duration_avg': 134.32835820895522}
27014;27015;{'route_I_counts': {1069: 83, 1055: 49}, 'd': 3081, 'n_vehicles': 132, 'duration_avg': 195.0}
27015;27016;{'route_I_counts': {1069: 40, 1055: 49}, 'd': 3396, 'n_vehicles': 89, 'duration_avg': 166.51685393258427}
27015;27014;{'route_I_counts': {1069: 85, 1055: 49}, 'd': 3081, 'n_vehicles': 134, 'duration_avg': 174.17910447761193}
27016;27017;{'route_I_counts': {1069: 40, 1055: 49}, 'd': 2538, 'n_vehicles': 89, 'duration_avg': 143.59550561797752}
27016;27015;{'route_I_counts': {1069: 42, 1055: 49}, 'd': 3396, 'n_vehicles': 91, 'duration_avg': 181.97802197802199}
27017;27016;{'route_I_counts': {1069: 42, 1055: 49}, 'd': 2538, 'n_vehicles': 91, 'duration_avg': 122.63736263736264}
27017;27018;{'route_I_counts': {1069: 40, 1055: 49}, 'd': 2108, 'n_vehicles': 89, 'duration_avg': 142.24719101123594}
27018;27017;{'route_I_counts': {1069: 42, 1055: 49}, 'd': 2108, 'n_vehicles': 91, 'duration_avg': 161.53846153846155}
27018;27019;{'route_I_counts': {1069: 40, 1055: 73}, 'd': 738, 'n_vehicles': 113, 'duration_avg': 106.72566371681415}
27018;27046;{'route_I_counts': {1055: 25}, 'd': 1685, 'n_vehicles': 25, 'duration_avg': 180.0}
27019;27504;{'route_I_counts': {1074: 26}, 'd': 3271, 'n_vehicles': 26, 'duration_avg': 205.3846153846154}
27019;27129;{'route_I_counts': {1074: 13}, 'd': 5570, 'n_vehicles': 13, 'duration_avg': 443.0769230769231}
27019;27018;{'route_I_counts': {1069: 42, 1055: 74}, 'd': 738, 'n_vehicles': 116, 'duration_avg': 106.03448275862068}
27019;27131;{'route_I_counts': {1074: 44}, 'd': 974, 'n_vehicles': 44, 'duration_avg': 128.1818181818182}
27021;27050;{'route_I_counts': {1055: 172}, 'd': 6023, 'n_vehicles': 172, 'duration_avg': 372.90697674418607}
27021;27284;{'route_I_counts': {1070: 168}, 'd': 3793, 'n_vehicles': 168, 'duration_avg': 240.0}
27021;27285;{'route_I_counts': {1070: 166}, 'd': 1912, 'n_vehicles': 166, 'duration_avg': 120.0}
27021;27022;{'route_I_counts': {1055: 179}, 'd': 2939, 'n_vehicles': 179, 'duration_avg': 180.0}
27022;27024;{'route_I_counts': {1055: 25}, 'd': 2231, 'n_vehicles': 25, 'duration_avg': 180.0}
27022;27026;{'route_I_counts': {1055: 73}, 'd': 2117, 'n_vehicles': 73, 'duration_avg': 120.0}
27022;27028;{'route_I_counts': {1055: 15}, 'd': 5135, 'n_vehicles': 15, 'duration_avg': 300.0}
27022;27050;{'route_I_counts': {1055: 24}, 'd': 8867, 'n_vehicles': 24, 'duration_avg': 540.0}
27022;27021;{'route_I_counts': {1055: 172}, 'd': 2939, 'n_vehicles': 172, 'duration_avg': 176.1627906976744}
27022;27023;{'route_I_counts': {1055: 90}, 'd': 1237, 'n_vehicles': 90, 'duration_avg': 79.33333333333333}
27023;27024;{'route_I_counts': {1055: 90}, 'd': 993, 'n_vehicles': 90, 'duration_avg': 110.66666666666667}
27023;27022;{'route_I_counts': {1055: 88}, 'd': 1237, 'n_vehicles': 88, 'duration_avg': 111.81818181818181}
27024;27025;{'route_I_counts': {1055: 76}, 'd': 1305, 'n_vehicles': 76, 'duration_avg': 108.15789473684211}
27024;27023;{'route_I_counts': {1055: 88}, 'd': 993, 'n_vehicles': 88, 'duration_avg': 68.18181818181819}
27024;27022;{'route_I_counts': {1055: 23}, 'd': 2231, 'n_vehicles': 23, 'duration_avg': 148.69565217391303}
27024;26999;{'route_I_counts': {1055: 39}, 'd': 2707, 'n_vehicles': 39, 'duration_avg': 195.3846153846154}
401;529;{'route_I_counts': {136: 22}, 'd': 2352, 'n_vehicles': 22, 'duration_avg': 180.0}
401;458;{'route_I_counts': {136: 45, 133: 4, 134: 5, 135: 78}, 'd': 754, 'n_vehicles': 132, 'duration_avg': 100.0}
401;590;{'route_I_counts': {137: 22, 138: 46, 139: 59, 140: 5}, 'd': 1093, 'n_vehicles': 132, 'duration_avg': 120.0}
401;329;{'route_I_counts': {138: 21, 140: 1}, 'd': 2145, 'n_vehicles': 22, 'duration_avg': 240.0}
27026;27027;{'route_I_counts': {1055: 73}, 'd': 1424, 'n_vehicles': 73, 'duration_avg': 120.0}
27026;27022;{'route_I_counts': {1055: 70}, 'd': 2117, 'n_vehicles': 70, 'duration_avg': 180.0}
27027;27026;{'route_I_counts': {1055: 70}, 'd': 1424, 'n_vehicles': 70, 'duration_avg': 120.0}
27027;27028;{'route_I_counts': {1055: 73}, 'd': 1714, 'n_vehicles': 73, 'duration_avg': 120.0}
27028;27050;{'route_I_counts': {1055: 13}, 'd': 12849, 'n_vehicles': 13, 'duration_avg': 780.0}
27028;27027;{'route_I_counts': {1055: 70}, 'd': 1714, 'n_vehicles': 70, 'duration_avg': 144.0}
27028;27029;{'route_I_counts': {1055: 68}, 'd': 3064, 'n_vehicles': 68, 'duration_avg': 166.76470588235293}
27028;27022;{'route_I_counts': {1055: 15}, 'd': 5135, 'n_vehicles': 15, 'duration_avg': 300.0}
27029;27028;{'route_I_counts': {1055: 70}, 'd': 3064, 'n_vehicles': 70, 'duration_avg': 180.0}
27029;27030;{'route_I_counts': {1055: 68}, 'd': 2148, 'n_vehicles': 68, 'duration_avg': 155.2941176470588}
27030;27029;{'route_I_counts': {1055: 70}, 'd': 2148, 'n_vehicles': 70, 'duration_avg': 131.14285714285714}
27030;27031;{'route_I_counts': {1055: 68}, 'd': 1695, 'n_vehicles': 68, 'duration_avg': 120.0}
27031;27032;{'route_I_counts': {1055: 68}, 'd': 2351, 'n_vehicles': 68, 'duration_avg': 155.2941176470588}
27031;27030;{'route_I_counts': {1055: 70}, 'd': 1695, 'n_vehicles': 70, 'duration_avg': 120.0}
27032;27033;{'route_I_counts': {1055: 25}, 'd': 2509, 'n_vehicles': 25, 'duration_avg': 172.8}
27032;27038;{'route_I_counts': {1055: 28}, 'd': 5898, 'n_vehicles': 28, 'duration_avg': 332.14285714285717}
27032;27031;{'route_I_counts': {1055: 70}, 'd': 2351, 'n_vehicles': 70, 'duration_avg': 168.85714285714286}
409;832;{'route_I_counts': {137: 19, 138: 101}, 'd': 2896, 'n_vehicles': 120, 'duration_avg': 180.0}
409;800;{'route_I_counts': {139: 65, 140: 40}, 'd': 3056, 'n_vehicles': 105, 'duration_avg': 180.0}
409;467;{'route_I_counts': {136: 103, 133: 10, 134: 24, 135: 78}, 'd': 1211, 'n_vehicles': 215, 'duration_avg': 120.83720930232558}
27034;27033;{'route_I_counts': {1055: 27}, 'd': 2240, 'n_vehicles': 27, 'duration_avg': 180.0}
27034;27035;{'route_I_counts': {1055: 25}, 'd': 2091, 'n_vehicles': 25, 'duration_avg': 180.0}
27035;27034;{'route_I_counts': {1055: 27}, 'd': 2091, 'n_vehicles': 27, 'duration_avg': 168.88888888888889}
27035;27036;{'route_I_counts': {1055: 25}, 'd': 2308, 'n_vehicles': 25, 'duration_avg': 148.8}
27036;27035;{'route_I_counts': {1055: 27}, 'd': 2308, 'n_vehicles': 27, 'duration_avg': 180.0}
27036;27037;{'route_I_counts': {1055: 25}, 'd': 1499, 'n_vehicles': 25, 'duration_avg': 184.8}
27037;27036;{'route_I_counts': {1055: 27}, 'd': 1499, 'n_vehicles': 27, 'duration_avg': 128.88888888888889}
27038;27032;{'route_I_counts': {1055: 28}, 'd': 5898, 'n_vehicles': 28, 'duration_avg': 360.0}
27038;27039;{'route_I_counts': {1055: 28}, 'd': 2130, 'n_vehicles': 28, 'duration_avg': 152.14285714285714}
27039;27012;{'route_I_counts': {1055: 28}, 'd': 1696, 'n_vehicles': 28, 'duration_avg': 240.0}
27039;27038;{'route_I_counts': {1055: 28}, 'd': 2130, 'n_vehicles': 28, 'duration_avg': 137.14285714285714}
27040;27048;{'route_I_counts': {1055: 24}, 'd': 2454, 'n_vehicles': 24, 'duration_avg': 180.0}
27040;27009;{'route_I_counts': {1055: 25}, 'd': 3000, 'n_vehicles': 25, 'duration_avg': 208.8}
27041;27042;{'route_I_counts': {1055: 14}, 'd': 2956, 'n_vehicles': 14, 'duration_avg': 201.42857142857142}
27041;27012;{'route_I_counts': {1055: 16}, 'd': 3587, 'n_vehicles': 16, 'duration_avg': 236.25}
27042;27041;{'route_I_counts': {1055: 16}, 'd': 2956, 'n_vehicles': 16, 'duration_avg': 236.25}
27046;27018;{'route_I_counts': {1055: 24}, 'd': 1685, 'n_vehicles': 24, 'duration_avg': 180.0}
27046;27047;{'route_I_counts': {1055: 25}, 'd': 852, 'n_vehicles': 25, 'duration_avg': 120.0}
27047;27048;{'route_I_counts': {1055: 25}, 'd': 1251, 'n_vehicles': 25, 'duration_avg': 120.0}
27047;27046;{'route_I_counts': {1055: 24}, 'd': 852, 'n_vehicles': 24, 'duration_avg': 120.0}
27048;27040;{'route_I_counts': {1055: 25}, 'd': 2454, 'n_vehicles': 25, 'duration_avg': 180.0}
27048;27047;{'route_I_counts': {1055: 24}, 'd': 1251, 'n_vehicles': 24, 'duration_avg': 120.0}
425;74;{'route_I_counts': {168: 109}, 'd': 2017, 'n_vehicles': 109, 'duration_avg': 149.1743119266055}
