from_stop_I;to_stop_I;attr_dict
8419;8418;{'d': 1165, 'duration_avg': 117.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8420;8419;{'d': 713, 'duration_avg': 72.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8421;8420;{'d': 851, 'duration_avg': 85.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8422;8421;{'d': 1061, 'duration_avg': 109.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8423;8422;{'d': 427, 'duration_avg': 48.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8424;8423;{'d': 511, 'duration_avg': 53.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8425;8426;{'d': 4894, 'duration_avg': 534.0, 'n_vehicles': 16, 'route_I_counts': {377: 16}}
8426;8424;{'d': 894, 'duration_avg': 99.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8359;8360;{'d': 485, 'duration_avg': 54.0, 'n_vehicles': 99, 'route_I_counts': {377: 99}}
8428;8364;{'d': 486, 'duration_avg': 119.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8429;8428;{'d': 459, 'duration_avg': 112.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8430;8429;{'d': 627, 'duration_avg': 158.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8431;8430;{'d': 423, 'duration_avg': 103.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8432;8431;{'d': 470, 'duration_avg': 115.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8433;8432;{'d': 346, 'duration_avg': 88.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8434;8433;{'d': 392, 'duration_avg': 96.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8435;8434;{'d': 333, 'duration_avg': 81.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8436;8435;{'d': 549, 'duration_avg': 135.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8437;8436;{'d': 569, 'duration_avg': 139.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8438;8437;{'d': 679, 'duration_avg': 167.0, 'n_vehicles': 160, 'route_I_counts': {376: 160}}
8439;8376;{'d': 2045, 'duration_avg': 167.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8440;8439;{'d': 2206, 'duration_avg': 181.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8441;8440;{'d': 3134, 'duration_avg': 247.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8442;8441;{'d': 3860, 'duration_avg': 319.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8443;8442;{'d': 2272, 'duration_avg': 181.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
8444;8443;{'d': 1556, 'duration_avg': 123.0, 'n_vehicles': 90, 'route_I_counts': {375: 90}}
