from_stop_I;to_stop_I;attr_dict
1898;5487;{'n_vehicles': 98, 'route_I_counts': {312: 98}, 'duration_avg': 180.0, 'd': 2035}
3052;2896;{'n_vehicles': 63, 'route_I_counts': {322: 32, 319: 31}, 'duration_avg': 150.47619047619048, 'd': 1663}
3052;3082;{'n_vehicles': 73, 'route_I_counts': {320: 7, 322: 33, 319: 33}, 'duration_avg': 120.0, 'd': 1656}
3052;2895;{'n_vehicles': 9, 'route_I_counts': {320: 9}, 'duration_avg': 120.0, 'd': 1649}
4946;4850;{'n_vehicles': 98, 'route_I_counts': {312: 98}, 'duration_avg': 60.0, 'd': 817}
4946;4947;{'n_vehicles': 97, 'route_I_counts': {321: 97}, 'duration_avg': 60.0, 'd': 915}
5486;6965;{'n_vehicles': 56, 'route_I_counts': {315: 39, 317: 17}, 'duration_avg': 484.2857142857143, 'd': 12924}
5487;5452;{'n_vehicles': 98, 'route_I_counts': {312: 98}, 'duration_avg': 60.0, 'd': 1212}
5488;1898;{'n_vehicles': 197, 'route_I_counts': {313: 77, 314: 21, 316: 2, 321: 97}, 'duration_avg': 120.0, 'd': 2039}
4849;1384;{'n_vehicles': 98, 'route_I_counts': {312: 98}, 'duration_avg': 120.0, 'd': 1449}
4850;4849;{'n_vehicles': 98, 'route_I_counts': {312: 98}, 'duration_avg': 120.0, 'd': 968}
4850;4946;{'n_vehicles': 97, 'route_I_counts': {321: 97}, 'duration_avg': 120.0, 'd': 817}
6355;6361;{'n_vehicles': 40, 'route_I_counts': {320: 7, 322: 33}, 'duration_avg': 132.0, 'd': 2745}
6355;6354;{'n_vehicles': 7, 'route_I_counts': {323: 1, 324: 6}, 'duration_avg': 377.14285714285717, 'd': 7039}
1785;1898;{'n_vehicles': 118, 'route_I_counts': {312: 98, 314: 19, 316: 1}, 'duration_avg': 120.0, 'd': 1246}
1785;1650;{'n_vehicles': 120, 'route_I_counts': {321: 97, 314: 21, 316: 2}, 'duration_avg': 120.0, 'd': 1753}
1018;593;{'n_vehicles': 70, 'route_I_counts': {322: 32, 323: 1, 324: 6, 319: 31}, 'duration_avg': 240.85714285714286, 'd': 3066}
1018;555;{'n_vehicles': 173, 'route_I_counts': {312: 98, 320: 9, 318: 66}, 'duration_avg': 153.98843930635837, 'd': 1953}
