from_stop_I;to_stop_I;attr_dict
4314;7854;{'route_I_counts': {970: 31}, 'n_vehicles': 31, 'duration_avg': 420.0, 'd': 2831}
4315;4321;{'route_I_counts': {554: 23}, 'n_vehicles': 23, 'duration_avg': 240.0, 'd': 4923}
4315;4318;{'route_I_counts': {553: 23, 555: 50}, 'n_vehicles': 73, 'duration_avg': 300.0, 'd': 5189}
4316;4323;{'route_I_counts': {553: 23, 555: 51}, 'n_vehicles': 74, 'duration_avg': 300.0, 'd': 4156}
4316;4319;{'route_I_counts': {554: 23, 556: 51}, 'n_vehicles': 74, 'duration_avg': 180.0, 'd': 2664}
4317;7904;{'route_I_counts': {969: 32, 553: 23, 962: 56, 555: 51, 967: 12}, 'n_vehicles': 174, 'duration_avg': 102.75862068965517, 'd': 1391}
4317;7914;{'route_I_counts': {554: 23, 556: 51, 970: 31, 974: 57, 959: 12}, 'n_vehicles': 174, 'duration_avg': 188.27586206896552, 'd': 1521}
4318;4315;{'route_I_counts': {554: 23, 556: 50}, 'n_vehicles': 73, 'duration_avg': 258.90410958904107, 'd': 5189}
4318;4319;{'route_I_counts': {553: 23, 555: 50}, 'n_vehicles': 73, 'duration_avg': 180.0, 'd': 2656}
7903;7884;{'route_I_counts': {953: 29, 974: 57, 959: 12}, 'n_vehicles': 98, 'duration_avg': 90.0, 'd': 1065}
7903;7853;{'route_I_counts': {962: 56, 956: 23, 967: 12}, 'n_vehicles': 91, 'duration_avg': 180.0, 'd': 2899}
7904;7882;{'route_I_counts': {969: 32}, 'n_vehicles': 32, 'duration_avg': 210.0, 'd': 2368}
7904;4317;{'route_I_counts': {554: 23, 556: 51, 970: 31, 974: 57, 959: 12}, 'n_vehicles': 174, 'duration_avg': 102.75862068965517, 'd': 1391}
7904;7869;{'route_I_counts': {962: 56, 967: 12}, 'n_vehicles': 68, 'duration_avg': 240.0, 'd': 2725}
7905;4314;{'route_I_counts': {953: 29, 961: 37}, 'n_vehicles': 66, 'duration_avg': 180.0, 'd': 3124}
7906;7889;{'route_I_counts': {960: 21, 970: 31, 959: 12}, 'n_vehicles': 64, 'duration_avg': 140.15625, 'd': 1977}
7906;7868;{'route_I_counts': {968: 23, 969: 32, 967: 12}, 'n_vehicles': 67, 'duration_avg': 161.19402985074626, 'd': 1368}
4323;4314;{'route_I_counts': {553: 23, 555: 51}, 'n_vehicles': 74, 'duration_avg': 539.1891891891892, 'd': 7422}
4323;4316;{'route_I_counts': {554: 23, 556: 51}, 'n_vehicles': 74, 'duration_avg': 300.0, 'd': 4156}
7908;7867;{'route_I_counts': {962: 56, 971: 34, 956: 23, 967: 12}, 'n_vehicles': 125, 'duration_avg': 98.16, 'd': 768}
7908;7902;{'route_I_counts': {953: 29, 961: 37, 974: 57, 959: 12}, 'n_vehicles': 135, 'duration_avg': 90.0, 'd': 850}
7867;7914;{'route_I_counts': {962: 56, 967: 12}, 'n_vehicles': 68, 'duration_avg': 180.0, 'd': 2829}
7867;7908;{'route_I_counts': {953: 29, 961: 37, 974: 57, 959: 12}, 'n_vehicles': 135, 'duration_avg': 104.66666666666667, 'd': 768}
7867;4314;{'route_I_counts': {971: 34, 956: 23}, 'n_vehicles': 57, 'duration_avg': 222.10526315789474, 'd': 2956}
7910;7890;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 60.0, 'd': 632}
7910;7892;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 165.65217391304347, 'd': 2175}
7911;7870;{'route_I_counts': {964: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 887}
7911;7855;{'route_I_counts': {952: 33, 954: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1696}
7912;7880;{'route_I_counts': {954: 36, 957: 33}, 'n_vehicles': 69, 'duration_avg': 90.0, 'd': 1127}
7912;7913;{'route_I_counts': {973: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 90.0, 'd': 1381}
7913;7912;{'route_I_counts': {954: 36, 957: 33}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1381}
7913;7894;{'route_I_counts': {973: 33, 958: 36}, 'n_vehicles': 69, 'duration_avg': 120.0, 'd': 1484}
7914;4314;{'route_I_counts': {554: 23, 556: 51, 970: 31}, 'n_vehicles': 105, 'duration_avg': 171.14285714285714, 'd': 839}
7914;7867;{'route_I_counts': {974: 57, 959: 12}, 'n_vehicles': 69, 'duration_avg': 204.7826086956522, 'd': 2829}
7914;4317;{'route_I_counts': {969: 32, 553: 23, 962: 56, 555: 51, 967: 12}, 'n_vehicles': 174, 'duration_avg': 193.44827586206895, 'd': 1521}
7915;4320;{'route_I_counts': {553: 23, 972: 1, 965: 34}, 'n_vehicles': 58, 'duration_avg': 281.8965517241379, 'd': 4629}
7916;7897;{'route_I_counts': {962: 56, 956: 23, 967: 12}, 'n_vehicles': 91, 'duration_avg': 90.0, 'd': 814}
7917;7896;{'route_I_counts': {553: 23, 972: 1, 965: 34}, 'n_vehicles': 58, 'duration_avg': 204.82758620689654, 'd': 3379}
7917;4320;{'route_I_counts': {554: 23, 955: 2, 966: 33}, 'n_vehicles': 58, 'duration_avg': 222.93103448275863, 'd': 4183}
7891;7889;{'route_I_counts': {968: 23, 969: 32, 967: 12}, 'n_vehicles': 67, 'duration_avg': 90.0, 'd': 1118}
7891;7869;{'route_I_counts': {960: 21, 970: 31, 974: 57, 959: 12}, 'n_vehicles': 121, 'duration_avg': 177.02479338842974, 'd': 2391}
